min,max,mean,median,q25,q75,k,Method,res1,res15,res2,res2.5,res3,res3.5,res45,res4,res5,res6,res7,res8,res9,removed_group,off_diag
0.03737767489926634,0.32327500984265356,0.16344408797191862,0.10635040579826456,0.05385483977303179,0.29636250954637683,5,SLDA,3,2,2,2,1,0,0,0,0,0,0,0,0,1,0.041386358353702524
0.09594826600693235,0.9784940461792363,0.5553861307457607,0.6007754628470355,0.14115974927586755,0.9605531294197318,5,tLDA,4,3,3,3,3,3,3,3,3,3,2,2,2,1,0.1074374180251441
0.006201434485995601,0.9986371799387075,0.74901280918264,0.8968341520483063,0.7483477336831076,0.9717467947719389,6,Ours,5,5,5,5,5,5,5,5,5,5,5,4,3,1,0.18133474374794162
0.050245912206962874,0.9998121065286021,0.5673291808263233,0.5344941496071831,0.3355672404704758,0.7953764095891225,6,LDA,5,5,5,5,4,4,4,4,4,3,2,2,1,1,0.13770609177860227
0.0637077212047524,0.36686382884917423,0.14628836730498515,0.0918199239520795,0.06972103288328746,0.17382803349662126,6,SLDA,3,2,1,1,1,1,0,0,0,0,0,0,0,1,0.04496842083029393
0.18625428615799133,0.9706353831796666,0.6077473039794777,0.6437383755445651,0.4374474056532061,0.7860098347066351,6,tLDA,6,6,5,5,5,5,4,4,4,4,2,2,1,1,0.13688556300849303
0.012978870249347916,0.9985762812729432,0.6860998052857172,0.8954005446388409,0.469235785857874,0.9786356845615702,7,Ours,5,5,5,5,5,5,5,5,5,5,5,5,3,1,0.1667599247415821
0.01729713433824611,0.9996237086663669,0.6883551134418419,0.7284794437578608,0.5729675876325162,0.9135751660326934,7,LDA,6,6,6,6,6,6,6,6,5,5,4,4,2,1,0.07676356983254792
0.023486066195422418,0.12154190691768961,0.07008118301776876,0.06795611285281787,0.04558504712922507,0.09320705045000065,7,SLDA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.022671522348197373
0.005791887275102156,0.9644515985169813,0.523783465983299,0.5577813039685777,0.14878950080087197,0.9204402352603437,7,tLDA,5,5,5,5,4,4,4,4,4,3,3,3,3,1,0.08826676795202278
0.013144514388794996,0.9985876039737801,0.635057412808319,0.8729754376154899,0.22623539459322273,0.9757208121633698,8,Ours,6,6,6,6,5,5,5,5,5,5,5,5,4,1,0.17080725890216034
0.01971941531692977,0.9996768442702262,0.5602127903456566,0.3525505614615782,0.3730187974626572,0.9071310725316866,8,LDA,7,7,7,7,7,6,4,4,4,3,3,3,2,1,0.08291869951258901
0.001682449894626741,0.20104906576364082,0.04722627143441831,0.023506648426604264,0.004791781947973096,0.05764290071254771,8,SLDA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0.011888124961609991
0.021592445477532276,0.9741977711799273,0.5123415255660259,0.4788047125640431,0.4114439338862805,0.6103212481064939,8,tLDA,7,7,7,7,7,6,6,4,4,2,2,2,1,1,0.20413654633436273
0.025699801757339612,0.9986309823396269,0.6572225055715214,0.8376831330324398,0.38910204808408144,0.9447950351609457,9,Ours,7,7,7,7,7,7,6,6,6,6,6,5,3,1,0.16527376544212297
0.004625614033852481,0.9997038948958343,0.5419334817164378,0.4449857331624573,0.31332716482065154,0.8287493450765042,9,LDA,7,7,7,7,7,6,6,5,5,4,3,3,2,1,0.07541729621163269
0.0014843143607465056,0.20511032305087104,0.0802416225904957,0.06830230913292007,0.036715390456478994,0.10832321501616769,9,SLDA,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0.017425035662422303
0.07096260321592095,0.9993143201471569,0.5542945947178685,0.6427532499946769,0.26612600791167373,0.8307317431987798,9,tLDA,8,8,8,8,5,5,5,5,5,5,3,3,2,1,0.11971521130036772
0.009838220624384544,0.998662603061387,0.6614817398468643,0.8061680973093119,0.4546637850537574,0.9282608655627234,10,Ours,8,8,8,8,8,8,7,7,7,7,7,5,3,1,0.17287829508904667
7.250532232099008e-4,0.9997213900482187,0.5284240890733837,0.4513057979773402,0.16291281354541687,0.8528923275143026,10,LDA,7,7,7,7,7,7,6,6,5,5,4,4,2,1,0.07203131876406406
