min,max,mean,median,q25,q75,k,Method,res1,res15,res2,res2.5,res3,res3.5,res45,res4,res5,res6,res7,res8,res9,removed_group,off_diag
0.0016551213492355936,0.9991401400534945,0.604793776482118,0.7137179213594894,0.32421763878238014,0.942044549736497,10,TTM-HOSVD,8,8,8,8,7,7,7,7,7,6,5,4,3,1,0.1666387830231869
3.339433658624709e-5,0.9986682002344373,0.6894870611324484,0.8496803717573929,0.572374330728972,0.9826315881717891,10,NTD_2,8,8,8,8,8,8,8,8,8,7,7,6,4,1,0.08131649213094946
1.715322778831244e-4,0.9988389282476033,0.6689502676607587,0.8376862719304371,0.5959461619447703,0.8818427958321122,11,TTM-HOSVD,9,9,9,9,9,9,9,9,9,8,6,6,3,1,0.15390569701768442
1.9679300038434364e-6,0.9994033707448968,0.6332618610953041,0.8489218120854841,0.36027035591109147,0.9471636599149755,11,NTD_2,9,8,8,8,8,8,8,8,8,8,6,6,4,1,0.05821202904950503
0.003960128897331781,0.9989472021000024,0.6419599021962815,0.7641992300521327,0.43355362482480636,0.9237785873928985,12,TTM-HOSVD,10,10,10,9,9,9,9,9,8,8,6,6,4,1,0.1467529548036967
2.3398272344731254e-4,0.9955835785314411,0.5657888194618591,0.6755777085250663,0.18761595755519514,0.9390626303728679,12,NTD_2,10,9,9,8,8,7,7,7,6,6,6,6,4,1,0.05676303604326958
0.0053083414682423636,0.9989380156512362,0.6496092776473911,0.8947547571467832,0.25652446760841935,0.9177606759750454,13,TTM-HOSVD,11,11,10,10,9,9,9,9,9,9,8,8,6,1,0.13915657487745284
7.325734077258012e-5,0.9963817282112597,0.5878638437313519,0.5656132234976551,0.42870411640416456,0.9362769877302253,13,NTD_2,12,11,11,10,10,10,10,8,8,6,5,4,4,1,0.06167176867006127
0.002384162936849592,0.9988084967765923,0.6354773011675623,0.7296562055730073,0.5392092111372402,0.8860199087291084,14,TTM-HOSVD,11,11,11,11,11,11,11,11,10,10,7,6,3,1,0.14494219171405487
4.8591460157898427e-4,0.9977795308421118,0.5681178071552331,0.5811799353868207,0.24686932059024017,0.9856973173338109,14,NTD_2,11,11,11,10,9,9,9,8,7,7,6,6,5,1,0.06276337865409362
0.002450610535712839,0.9988136273501438,0.619229579351313,0.685636516735489,0.4494120900944759,0.8875388733564415,15,TTM-HOSVD,12,12,12,12,12,12,11,11,11,10,7,6,4,1,0.15460437088042162
3.354523181469096e-10,0.9997230976864592,0.6746731508007713,0.8873132050176522,0.34413903413001884,0.9957318967131719,15,NTD_2,12,12,12,12,12,11,10,10,10,10,10,8,7,1,0.05328301607802368
3.391914251347942e-5,0.9988157303147456,0.6216106763994931,0.7529115115366001,0.35253634071715056,0.8813461680935006,16,TTM-HOSVD,13,13,13,13,13,12,11,11,11,11,9,7,3,1,0.15195069597200442
3.9161653293388536e-5,0.9998743991004166,0.6245754423416537,0.764157454262318,0.2602779911973923,0.9979057588903866,16,NTD_2,12,12,12,12,12,11,11,11,11,9,8,8,6,1,0.05368354160133169
0.03869616206691713,0.9974469684469298,0.6396084568943194,0.8826822401691115,0.4606892011180143,0.9400646043080206,3,TTM-HOSVD,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0.09895030393240316
0.01555144027216853,0.9333455284862193,0.5984255187772339,0.8463795875733139,0.4309655139227412,0.8898625580297665,3,NTD_2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0.11617338598778311
0.0025406619088389768,0.9979186925752195,0.4491283491604439,0.39802702107885857,0.20688700172956856,0.6402683685097339,4,TTM-HOSVD,3,3,3,3,2,2,2,2,2,1,1,1,1,2,0.1010551950555214
0.005538227997538413,0.9869811081729634,0.47935341096304834,0.4624471538408458,0.1753514221012044,0.7664491427026898,4,NTD_2,3,3,3,2,2,2,2,2,2,2,1,1,1,2,0.10908104392952654
0.04112177158674185,0.9984605052497699,0.5330683797540248,0.6258603172682848,0.05724702627606345,0.9426522783892638,5,TTM-HOSVD,3,3,3,3,3,3,3,3,3,3,2,2,2,2,0.15043769228800413
0.0579459995804341,0.9418479711587278,0.4135412722398479,0.3092078106731228,0.16676749761727364,0.5919370821696812,5,NTD_2,4,4,3,3,3,2,2,2,2,1,1,1,1,2,0.06890990284975247
0.005309109096491833,0.9985608733013436,0.5333802755881927,0.6319091123852392,0.15588790374308176,0.8595117372201696,6,TTM-HOSVD,4,4,4,4,4,4,4,4,4,3,3,2,1,2,0.09737093286184334
0.008584869105127419,0.9992936901225774,0.5408963138309221,0.5985600582361061,0.2255334348716607,0.8540309997106039,6,NTD_2,5,4,4,4,4,4,4,4,4,3,2,2,2,2,0.0699183071471791
0.0052762329685256066,0.9985952063118144,0.5728077811609141,0.7539049170869757,0.27435387771317143,0.8515851781663699,7,TTM-HOSVD,5,5,5,5,5,5,5,5,5,4,4,3,1,2,0.07827829282336778
0.0016258899052931674,0.9973594967770666,0.5244342425448425,0.7565108437076461,0.08560658539445776,0.8721651483174879,7,NTD_2,5,5,4,4,4,4,4,4,4,4,4,2,2,2,0.03957407962521623
0.013162549708259374,0.9984673376179638,0.5034239477892056,0.5068523150633938,0.1874426112670383,0.8309714030003861,8,TTM-HOSVD,6,6,6,5,5,5,5,4,4,3,3,3,2,2,0.09700210468789013
0.003169093822233547,0.9773779778467777,0.5038423191283835,0.5848306119099167,0.17229907787942478,0.8031552922651637,8,NTD_2,6,6,6,5,5,5,5,5,4,4,3,2,1,2,0.08775771835138153
0.0046281835176821134,0.9437017077665252,0.5005000155672098,0.7824468355818817,0.01964704379613804,0.8936832109359499,9,TTM-HOSVD,5,5,5,5,5,5,5,5,5,5,5,4,2,2,0.055540237183323175
5.535636090887336e-4,0.9992900578233038,0.378795001409629,0.1644751639592679,0.06614279908440365,0.5319342361587645,9,NTD_2,6,6,4,4,4,4,4,4,3,2,2,2,2,2,0.05149141872668864
0.004388088042493308,0.9981176970274763,0.5206839833301328,0.5899374799184032,0.11208167476162767,0.886829627064814,10,TTM-HOSVD,7,7,7,7,7,6,6,5,5,5,5,4,3,2,0.10973135615372323
4.283393531418803e-6,0.9997247295653724,0.5453798633871556,0.6350978407733785,0.11453675736321339,0.9572675554958832,10,NTD_2,7,7,7,7,6,6,6,6,6,6,4,4,3,2,0.05495904885599608
3.091292724462834e-4,0.9946534531547347,0.45317230861381697,0.45051008470012577,0.07468839152958058,0.8181360557172692,11,TTM-HOSVD,8,7,6,6,6,6,6,6,5,4,4,3,3,2,0.15339520034565057
7.166233944839296e-5,0.9971645207190547,0.6600773687933142,0.8333433963736258,0.4301479760506342,0.959359183750637,11,NTD_2,9,9,8,8,8,8,8,8,8,8,7,6,4,2,0.07477388909353082
0.0027769634675723193,0.9980890584813912,0.5368125136260868,0.605130292820838,0.23458061724610266,0.8739512310965465,12,TTM-HOSVD,9,9,9,9,8,7,7,7,7,6,5,5,3,2,0.12468808543582982
