min,max,mean,median,q25,q75,k,method,res1,res15,res2,res2.5,res3,res3.5,res45,res4,res5,res6,res7,res8,res9,removed_group,off_diag
0.055269479169103464,0.9967327897953112,0.6409667929848165,0.6447476786922088,0.6192312196268295,0.8313699683893252,6,LDA,5,5,5,5,5,5,5,5,5,5,2,2,1,1,0.0902262005993376
0.002308640220719752,0.3279009618079413,0.11032224774580436,0.046370256626408674,0.027946676836897798,0.17447597987131738,6,SLDA,2,2,2,1,1,0,0,0,0,0,0,0,0,1,0.024489478470297806
0.008724931749568812,0.9935081439546355,0.6948396148791445,0.9115291724878305,0.5260765701776939,0.9489809578032944,7,Ours,6,6,5,5,5,5,5,5,5,5,5,5,4,1,0.12468271322088788
8.765667386316427e-5,0.9946450578135672,0.5345919289224615,0.6095143568661634,0.3490071435106078,0.7199410720412108,7,LDA,5,5,5,5,5,5,5,5,5,5,2,2,1,1,0.08181371631458162
0.006491306505380547,0.3522072702813073,0.10815614662153812,0.07406225395938633,0.0456074609908946,0.11655863681145173,7,SLDA,2,1,1,1,1,1,0,0,0,0,0,0,0,1,0.030260777778700638
0.01963858487209908,0.9937301654145979,0.6387333632238221,0.7969439542908427,0.5034770189674339,0.873803316114136,8,Ours,6,6,6,6,6,6,6,6,6,6,5,4,2,1,0.12282010114042789
0.0020419570746206305,0.9993779668433341,0.6265201376127664,0.7135072887486353,0.526973728346806,0.8453669882288986,8,LDA,7,7,7,7,6,6,6,6,6,6,4,4,1,1,0.08455023179129931
0.004477232608454263,0.25364821394340253,0.09995808834411454,0.0634202174896085,0.01623533447126899,0.1739933451346259,8,SLDA,3,3,2,1,0,0,0,0,0,0,0,0,0,1,0.018415887242885117
0.06104249552076449,0.9985385259229933,0.6859934843539587,0.8947533389465075,0.4509293574895739,0.9331480814490714,9,Ours,7,7,7,7,7,7,7,7,6,6,6,6,4,1,0.15202525069296072
0.02944288439665707,0.9998275250165952,0.572086286443132,0.6205159121385164,0.2245043333711117,0.899648642869902,9,LDA,8,7,7,6,6,6,6,6,6,5,4,3,2,1,0.09399842144097839
0.002881406569531876,0.3293431405854517,0.07131830232288072,0.03567265451920245,0.015327244871571104,0.06836739419473738,9,SLDA,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0.015179039148970964
0.05518824920403824,0.9940052330038658,0.616756274300913,0.7536442124292779,0.30199393929224216,0.8727069705806167,10,Ours,9,8,7,7,7,7,7,7,7,7,7,4,2,1,0.16373453919290865
0.001042843242864197,0.9987520621039837,0.6466257891876726,0.7688880803715604,0.41567110844990346,0.9229035205831132,10,LDA,8,8,8,8,8,7,7,7,7,7,7,4,4,1,0.06522929387605379
3.7403364668171937e-4,0.6019169174833908,0.11415047865993647,0.04758956168395539,0.021786937019617248,0.0680008186196024,10,SLDA,2,2,2,1,1,1,1,1,1,1,0,0,0,1,0.010842350988906332
0.053709751772393975,0.993857376147286,0.6463943686083184,0.8073477749082463,0.45503921598357866,0.8876480468234259,11,Ours,9,9,8,8,8,8,8,8,8,8,8,6,2,1,0.13650019542630254
0.0703381058683969,0.9997792448919487,0.6479291061513439,0.7782850118069937,0.4594644811577125,0.8638398252353604,11,LDA,10,10,10,9,9,8,8,8,8,7,6,5,2,1,0.07860849625295764
0.0030262170825234255,0.3855582997921464,0.062228075129764804,0.02604689740754355,0.012230010269738339,0.05953718494147729,11,SLDA,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0.011785997533932712
0.0477189175660306,0.9939470413934767,0.6239869813190972,0.7963945098076479,0.36466630335986455,0.8374320085903028,12,Ours,10,10,9,9,9,9,9,8,8,8,8,5,2,1,0.15705816327019512
0.004554723854953244,0.9998831511721012,0.6473630983969164,0.8215926311714019,0.3112971135831037,0.8518348448469298,12,LDA,11,11,11,10,10,8,8,8,8,8,8,7,2,1,0.08480283266342331
0.0012494829380267692,0.3252817652289422,0.08609792036424885,0.02379268014322115,0.004809567128861819,0.1428487279693573,12,SLDA,4,3,2,1,1,0,0,0,0,0,0,0,0,1,0.009086871797277147
0.014637191052880562,0.9944903823253175,0.6289870729785829,0.8134081376754865,0.3006128547844061,0.8683248432422481,13,Ours,11,10,10,10,10,9,9,9,9,9,9,7,2,1,0.148756784136402
0.005432589646560944,0.9992927039581393,0.6821271486538175,0.836109410738897,0.6003294511810543,0.9103267204685352,13,LDA,11,11,11,11,11,10,10,10,10,10,8,7,4,1,0.0753535543194473
