min,max,mean,median,q25,q75,k,method,res1,res15,res2,res2.5,res3,res3.5,res45,res4,res5,res6,res7,res8,res9,removed_group,off_diag
0.009862459766701604,0.9964169844433944,0.5483213406496036,0.5810360045539613,0.23766555310303777,0.8813829234891533,10,Ours,9,8,8,7,7,6,6,6,6,5,4,4,2,1,0.15365791724885058
0.0022085274165854034,0.9993018769932906,0.4861867259330984,0.42250814910566625,0.1396619665100711,0.8273408910512846,10,LDA,8,7,7,5,5,5,5,5,5,5,4,4,2,1,0.09019476175399753
0.015865360031197675,0.9956138823599003,0.474005835057111,0.3702564044363117,0.15970606122857334,0.8508910968962907,11,Ours,8,8,8,8,7,6,5,5,5,4,4,4,2,1,0.11922526910901858
0.004092224092400309,0.9992251044348891,0.5207879583529559,0.5507416291474059,0.12756622481830457,0.8410771760125332,11,LDA,8,8,8,7,7,7,7,7,7,5,4,3,3,1,0.08136896692448327
0.010195711319257434,0.9949553545300425,0.46847466882131317,0.347893146531971,0.21257207953239265,0.86196850669987235,12,Ours,10,9,9,7,6,6,6,5,5,4,4,4,2,1,0.10708751569707428
0.0014506622791352832,0.9991714362939212,0.5121803424401656,0.5610811832602837,0.09804388394390791,0.7766949875874162,12,LDA,9,8,8,8,8,8,8,8,8,5,4,3,3,1,0.0697395717371181
0.0031458104790769554,0.9953415011688076,0.48917162013146187,0.3217488249055687,0.11434730808789542,0.883894427100428,13,Ours,10,9,8,8,7,6,6,6,6,6,6,4,3,1,0.13850256608973166
0.003146840805951103,0.9997622740682025,0.5145469235984547,0.43641635846800747,0.22674088157400096,0.8326829151655671,13,LDA,11,11,11,9,9,9,9,6,5,5,4,4,3,1,0.08919875173389705
3.850300909092429e-4,0.9959512318738041,0.5053309310260866,0.5516215702191256,0.10699894923421777,0.9038403495181815,14,Ours,10,10,9,9,8,8,8,8,7,7,5,5,4,1,0.14064951219941738
5.483575202632428e-5,0.9997654301937133,0.533333338383573,0.4940673220002044,0.37497044874622076,0.7779791006449275,14,LDA,12,12,12,12,11,11,10,8,7,5,4,4,3,1,0.08639698742427013
0.023940418740470665,0.9965408435673196,0.3993616795274369,0.12013749025419619,0.04154510809754909,0.7713140076173582,15,Ours,8,7,7,7,7,7,7,7,7,7,5,4,2,1,0.11611004655437797
4.8602778641383226e-4,0.9994593590010632,0.5876361726733619,0.7369962660361848,0.1612771714775384,0.9528273498210368,15,LDA,11,11,11,11,10,10,10,10,10,9,8,6,6,1,0.0736353337064704
0.01878458411912703,0.9975222913934091,0.508201868766711,0.4663020915878072,0.2547625687940599,0.8876617440778345,16,Ours,13,13,13,12,11,9,8,8,8,7,5,5,4,1,0.1819940915122386
1.9826184751664714e-4,0.9994518767724208,0.5485224400295172,0.607274793873989,0.15766245127890746,0.9490787831715757,16,LDA,12,12,12,11,11,10,10,10,8,8,8,6,5,1,0.07625336011185521
0.5235900788596228,0.9982781261522072,0.8282218334059664,0.9627972952060693,0.743193687032846,0.9805377106791382,3,Ours,3,3,3,3,3,3,3,3,3,2,2,2,2,2,0.10016017921906976
0.6417614783057206,0.9897616637311071,0.8720917713142384,0.9847521719058877,0.8132568251058041,0.9872569178184973,3,LDA,3,3,3,3,3,3,3,3,3,3,2,2,2,2,0.053710459204687235
4.3811101188069953e-4,0.9929889671711645,0.5277076776677582,0.5587018162439938,0.3111100831379694,0.7752994107737826,4,Ours,3,3,3,3,3,3,3,2,2,2,2,1,1,2,0.17938460562140277
0.5887978395451987,0.9918503955849028,0.875123703635527,0.9599232897060034,0.8451878007674881,0.9898591925740424,4,LDA,4,4,4,4,4,4,4,4,4,3,3,3,3,2,0.06918133559044899
0.06916769436760499,0.9981321393170769,0.7559245685507887,0.9443781585929377,0.7915673905824034,0.9763774598939203,5,Ours,4,4,4,4,4,4,4,4,4,4,4,3,3,2,0.16676341663795255
0.24001653111743518,0.9907137660123299,0.7449678782506766,0.9424430815927998,0.5839015840125955,0.9677644285182223,5,LDA,5,5,5,4,4,4,4,4,4,3,3,3,3,2,0.07281933791605177
0.03494694881180412,0.9981243520655693,0.7646127738160735,0.9072036553454873,0.7930294839359351,0.9657208672328782,6,Ours,5,5,5,5,5,5,5,5,5,5,5,4,3,2,0.15972318120528614
0.0025644410021528254,0.9952499980113854,0.723369755990684,0.8969037534119968,0.6576686126122895,0.952230706673638,6,LDA,5,5,5,5,5,5,5,5,5,4,4,4,3,2,0.07901502678305752
0.007860863572148357,0.9987908628227887,0.7665371758097649,0.9123167983379404,0.7437785700956077,0.9796172828721307,7,Ours,6,6,6,6,6,6,6,6,6,6,5,5,4,2,0.16866304676019162
0.05618476504581494,0.9952501033898272,0.7279000899539433,0.8442815707176884,0.6228272935849364,0.9769648016771999,7,LDA,6,6,6,6,6,6,6,6,6,5,4,4,3,2,0.04572742859631376
0.03462210380548247,0.9987815030311331,0.740036955200159,0.9002995844053496,0.5846809928172458,0.9706028557136832,8,Ours,7,7,7,7,7,7,7,7,7,6,5,5,4,2,0.1506614369539803
0.017651362768518808,0.9988525401537274,0.7561056431400043,0.8578953297675915,0.717437037152943,0.9751761483142569,8,LDA,7,7,7,7,7,7,7,7,7,6,6,5,3,2,0.04984616272472183
0.03554761261626898,0.9989338487906797,0.7261492497672801,0.9338862635729885,0.5277990199372073,0.9671272442065575,9,Ours,8,8,8,8,8,8,8,8,7,6,5,5,5,2,0.14327867215376353
0.0072031672580306575,0.9998394223450734,0.6983771892453567,0.8869562804661915,0.7143770289347562,0.9271985308782784,9,LDA,7,7,7,7,7,7,7,7,7,7,7,5,4,2,0.08701688501428861
0.015495064628866642,0.9989733420877198,0.6843132686099274,0.8182943493705075,0.530553929625206,0.925159111349497,10,Ours,9,9,8,8,8,8,8,8,7,7,7,5,4,2,0.1640112084542693
1.4538046493954888e-4,0.998521717556355,0.6413676916111843,0.8621444323397316,0.26658332060500584,0.9595242303449586,10,LDA,8,8,7,7,7,7,7,7,7,6,6,5,5,2,0.05801408069344432
0.06605477938668511,0.9989143080746017,0.6728321121150136,0.7350779886031963,0.4996193645242686,0.874901476231511,11,Ours,10,10,10,10,10,10,8,8,8,8,7,4,2,2,0.16566833377908965
5.913543718631758e-4,0.9997109582272719,0.6353195814897313,0.6687317762516303,0.4728172343415664,0.8554500741991113,11,LDA,10,10,10,10,9,9,8,8,8,7,5,3,3,2,0.11334145592463889
0.0015607597660080813,0.9984735078333078,0.6689194280094254,0.8721262664656242,0.37595253721006516,0.911296197316086,12,Ours,11,11,11,9,9,9,9,8,8,8,7,7,3,2,0.11993998598171042
0.0059483325740974655,0.9996938738724268,0.5747724722062234,0.6167836246655406,0.45836086536488396,0.6656764753335,12,LDA,11,11,11,11,10,10,9,9,8,6,2,2,2,2,0.09830906337715825
0.09725505167698868,0.9988797391489734,0.5390736274772953,0.395532344237668,0.21036953442248033,0.8323855922389541,13,Ours,12,11,10,9,9,8,6,6,6,6,6,5,3,2,0.20645661374974766
7.75120945657474e-4,0.9997428913085378,0.7324705536747748,0.8584229214905186,0.7084415929613311,0.9617419308287123,13,LDA,12,12,12,12,12,10,10,10,10,10,10,8,5,2,0.08950842100274348
0.004829864885653667,0.9986932578917213,0.6563671893062522,0.7887967159081275,0.3254671755612158,0.9373093088779297,14,Ours,13,11,11,10,10,10,10,10,10,10,9,6,4,2,0.2436185297530733
0.002521659414475724,0.999854946612816,0.7479757725446678,0.9484387524487841,0.6180011862953732,0.9867412125521166,14,LDA,13,13,12,12,11,11,11,11,11,10,10,9,9,2,0.05498800801099803
0.012213963975393056,0.9984930880583442,0.5773627325479758,0.633064440991351,0.27952251191579736,0.901581744730535,15,Ours,13,12,12,11,11,9,9,9,9,8,7,6,4,2,0.16682115340673614
0.003889699506655717,0.9998965343651447,0.661445530612092,0.6938290379968868,0.4592057515208081,0.9372231249472732,15,LDA,14,14,14,14,14,13,12,12,10,9,7,6,5,2,0.09448754969881203
0.012695053943617663,0.9985070755063876,0.5655441177380174,0.6138238278229948,0.3222929238522763,0.864900207714401,16,Ours,13,13,13,12,12,11,9,9,9,9,7,6,4,2,0.17042900318469362
0.0040764849402425375,0.9998954848447085,0.6457888787560211,0.6680713978918651,0.4342371999820089,0.9402756221910527,16,LDA,15,15,15,15,15,13,12,12,11,9,7,6,5,2,0.09974637636442728
0.3744514908117846,0.9976442584612034,0.7831079660446437,0.9772281488609431,0.6758398198363639,0.9874362036610733,3,Ours,3,3,3,3,3,3,2,2,2,2,2,2,2,3,0.10780561393570516
0.6532742450372688,0.9739967798110658,0.7908579967692562,0.745302965459434,0.6992886052483513,0.85964987263525,3,LDA,3,3,3,3,3,3,3,3,3,3,2,1,1,3,0.07029556978293483
0.5210133184312234,0.9983512070253039,0.7704925349506985,0.7813028071731332,0.5638210691869499,0.9879742729368818,4,Ours,4,4,4,4,4,4,4,4,4,2,2,2,2,3,0.16520278493891702
0.04770594565033084,0.9932958311049892,0.6703367243989463,0.8201725604202326,0.5696976781949997,0.9208116066241792,4,LDA,3,3,3,3,3,3,3,3,3,3,3,2,1,3,0.0884450131353514
0.055284446151556116,0.9983117628007454,0.7901384099411102,0.9511558360850099,0.9503246569085985,0.995615347759641,5,Ours,4,4,4,4,4,4,4,4,4,4,4,4,4,3,0.12073107535865626
